text,freq,occurrences
seja o meu jeito de levar as coisas assim mas como a gente está falando de instinto materno é muito engraçado porque eu acho que na verdade o que eu senti desse instinto materno é um sinta de de sobrevivência também é uma consciência da sua importância no mundo assim parece que agora nada pode acontecer com você porque você tem um ser que depende totalmente de você então parece que fica vivo assim uma responsabilidade muito maior você se dá conta de que você precisa ficar vivo então é bem maluco assim é bem forte e é isso acho que foi isso que eu senti meu filho está com 1 ano e 9 meses eu ainda tenho essa sensação de que nada pode acontecer comigo eu fiquei muito mais responsável eu ponho um cinto de segurança toda vez que entra no carro eu tenho medo de viajar mas talvez eu seja um pouco paranóico de mais conteúdo enfim eu não levo entanto em consider,3,"[{ep: 1, idx: 12}, {ep: 19, idx: 12}, {ep: 199, idx: 12}]"
e 9 meses eu ainda tenho essa sensação de que nada pode acontecer comigo eu fiquei muito mais responsável eu ponho um cinto de segurança toda vez que entra no carro eu tenho medo de viajar mas talvez eu seja um pouco paranóico de mais conteúdo enfim eu não levo entanto em consideração essa parte é mas tem sido uma experiência maravilhosa eu acho que um filho muda a gente muda as prioridades também dá também a noção de que a gente não controla absolutamente nada nessa vida então eu não sei muito bem se você me perguntar o que eu acho que é um instinto materno senha não saberia dizer eu acho que é um instinto de sobrevivência mesmo saber de uma devoção é sempre que você abrir mão de muita coisa né pra que eu dar certo é uma coisa bem forte assim estou ansiosa pra ouvir aí o que vocês vão falar sobre isso o autor não dá para dizer que o,3,"[{ep: 1, idx: 13}, {ep: 19, idx: 13}, {ep: 199, idx: 13}]"
menos como falou né eu sinto como se fosse um instinto de sobrevivência eu tenho que continuar viva para cuidar da criança e ordenado de um ser que defende totalmente dela isso tem sido dance pra isso por exemplo tem um artigo muito legal da pns tem um baita trabalho mas o artigo sensacional em que eles fizeram um estudo multicultural inclusive com a mostra do brasil pegaram um é mulher do brasil então eles pegaram uma amostra acho que eram 12 países diferentes e fizeram uma análise por questionário por uma parte e para a outra parte que era uma mostra na china uma na itália e nos estados unidos chamaram as mães para a ressonância magnética artigo massa assim a discussão introdução parceiro do caro e se valia muito saímos muito boa vale muito a pena a leitura então uma parte assim seria figura 1 nesse artigo olha só a primeira figura não né eles mostram o seguinte eles perguntaram para as mães sobre cuidado que tipo de comport,3,"[{ep: 1, idx: 15}, {ep: 19, idx: 15}, {ep: 199, idx: 15}]"
ressonância magnética artigo massa assim a discussão introdução parceiro do caro e se valia muito saímos muito boa vale muito a pena a leitura então uma parte assim seria figura 1 nesse artigo olha só a primeira figura não né eles mostram o seguinte eles perguntaram para as mães sobre cuidado que tipo de comportamento você faz quando a criança chora já sabemos que choraram comportamento nada né é um instinto então o que você faz quando a criança chora eles deram uma lista de comportamentos aí eles agrupar os comportamentos nos seguintes grupos falar com a criança né pegar ele ou carregar alimentar ela distrair ela ou fazer uma exposição de afeto que seria fazer uma voz fininha que na linguagem e teórica chamada de mãe eis não desenvolver tanto é que quando você é visto na rua se eu estou com uma criança pequena eu faço do uso ninguém acha engraçado todo mundo acha adaptati,3,"[{ep: 1, idx: 16}, {ep: 19, idx: 16}, {ep: 199, idx: 16}]"
existe instinto materno parte 2 [Música] bem vindo ao não rodou podcast para quem tem fome de aprender eu soquei fujioka eu só tem souza e hoje dia de que o mundo está aí vamos para os recados da paróquia quais são número 1 vai na tua história de cinco estrelas e faça seu comentário isso aí número dois indica um episódio na rodou por alguém que nunca ouviu na rodou mesmo nunca tenha ouvido um podcast vamos aumentar o tamanho de nossa toda esfera e número 3 ao sair tem uma novidade porque além do apoia-se agora você pode também apoiar colaborar com a produção do na rodovia pi payout é isso aí né é fácil é só você baixar o aplicativo pp ivan e vai procurá-la por rodou e vai vir na hora e tem lá a opção de assinatura isso que é simples indolor e optei ainda é uma ferramenta que vai te ajudar a fazer vários tipos de pagamento não é por isso,3,"[{ep: 1, idx: 0}, {ep: 19, idx: 0}, {ep: 199, idx: 0}]"
pi payout é isso aí né é fácil é só você baixar o aplicativo pp ivan e vai procurá-la por rodou e vai vir na hora e tem lá a opção de assinatura isso que é simples indolor e optei ainda é uma ferramenta que vai te ajudar a fazer vários tipos de pagamento não é por isso que a gente está optando por essa nova alternativa de pagamento quem preferir continuar posse pode continuar na quem quiser migrar o peta convidado por foi a gripe que em breve a gente vai ter de fato um conteúdos exclusivos para assinantes a ea gente vai usar a plataforma que precisa ser assinante do pp tá então quem quiser migrar quem quiser ter acesso a esse conteúdo exclusivo vai precisar migrar a sua assinatura para o pp temos desde já e participem por favor é isso aí a gente tem um recado especial da família de nove de podcast ver escutar o ponto de virada o nosso irmão mais,3,"[{ep: 1, idx: 1}, {ep: 19, idx: 1}, {ep: 199, idx: 1}]"
es na ponta as feras acres barthes contou como foi mudar de carreira e ter a coragem de começar de novo ea juliana valor relatou como foi empreender sem grana abrindo o coração e os bastidores da nova jornada dela no bbb 9 os aprendizados os erros os medos então é isso puxa o banquinho e vai participar da conversa toda segunda-feira um novo episódio no ar acesse e 9 ponto com ponto br barra ponto de virada pra ver todos os episódios o ponto de virada é um oferecimento de coca cola café o gás extra do seu dia antes da pauta mais um recado na rodou abre espaço para os podcast das meninas porque representatividade é importante também na pois era o destaque de hoje vai para o podcast sonora ouço recado que a talita takeda deixou pra você ouvinte do nar rodou e conheço podcast sonora sonora é um podcast dedicado à música pra quem quer entrar no mundo da composição e da produção musical esse é o prato cheio toda semana eu talita takeda e,3,"[{ep: 1, idx: 3}, {ep: 19, idx: 3}, {ep: 199, idx: 3}]"
também na pois era o destaque de hoje vai para o podcast sonora ouço recado que a talita takeda deixou pra você ouvinte do nar rodou e conheço podcast sonora sonora é um podcast dedicado à música pra quem quer entrar no mundo da composição e da produção musical esse é o prato cheio toda semana eu talita takeda e também bellver convidamos um músico pra contar sobre seus processos criativos como ele compõe como os discos são produzidos e à divulgação deste material estamos em todos os agregadores de podcast ou no link direto amplo ponto fm barra sonora a nch ou r ponto fm barra sonora em altay e chegamos à segunda parte do episódio sobre o instinto materno a primeira parte foi meteórica assim mais intensa agora temos uma parte mexemos todas as definições históricas de estilo né também trabalho né é uma parte porque mais bacana né agora a primeira parte foi bem teórico quantitativa para uma parte mais qualitativa,3,"[{ep: 1, idx: 4}, {ep: 19, idx: 4}, {ep: 199, idx: 4}]"
de questão social de uma série de aspectos está longe de ser resistível exato e então já mostramos que o instinto materno não é um instinto mas é um comportamento complexo e muito prevalente importante para a sobrevivência tá mas será que ele matando aí que vem o ponto nem daqui não exclusivamente das mães alta então não não é até os anos 70 do século passado tinha muito forte essa coisa do materno mas agora é principalmente a partir dos anos 90 e 2000 temos aqui um artigo de 2009 por exemplo mostrando que fisiologicamente os homens são tão afetados pelo nascimento de um filho quanto as mulheres cerebralmente mesmo de aumentar a área tipo de coisa com kansas mudança cerebral por exemplo então já se sabe né vamos deixar alguns artigos mães inicialmente já se sabe que tem mudança de volume de área não têm áreas do cérebro das mulheres que durante a gravidez e logo nascimento áreas aumento e eu diminui e dos jovens também têm áreas,3,"[{ep: 1, idx: 7}, {ep: 19, idx: 7}, {ep: 199, idx: 7}]"
criança chora não elas fazem só depois do show determinados ou seja mostra uma o cuidado maternal tem um grande efeito cultural na expressão né e aí eles pegaram as mães chinesas e italianas e americanas que têm comportamento bem diferente do cuidado e trouxeram para a ressonância magnética para ver o cérebro delas antes depois ou durante a gravidez e depois que nasceu a criança as áreas cerebrais que foram modificadas foram as mesmas ou seja o cérebro se modifica só que a cultura módulo comportamento entendeu por isso que não extinto também porque se não mudou cérebro acabou esquerdo de fábio não é você tem uma interferência da cultura e do do histórico do meio na regulação do comportamento né então falando das áreas cerebrais vai ajudar um pouco camilo você tem algumas áreas cerebrais que crescem com o nascimento da criança as áreas do cérebro das mães que crescem com o nascimento,3,"[{ep: 1, idx: 19}, {ep: 19, idx: 19}, {ep: 199, idx: 19}]"
