episode_number,episode_title,reference_title,reference_url,reference_type_id
111,Desafio Naruhodo Como Voce Resolveria O Enigma Da Padaria,"Manual Prático Mindfulness: Curiosidade e Aceitação, de Marcelo Demarzo e Javier García Campayo",https://goo.gl/FkYZWd,9
111,Desafio Naruhodo Como Voce Resolveria O Enigma Da Padaria,Centro Brasileiro de Pesquisa e Formação em Mindfulness,http://www.mbrpbrasil.com.br,9
111,Desafio Naruhodo Como Voce Resolveria O Enigma Da Padaria,Matéria sobre o artigo “Mind the Hype: A Critical Evaluation and Prescriptive Agenda for Research on Mindfulness and Meditation”,http://neurosciencenews.com/rigor-less-hype-mindfulness-meditation,9
111,Desafio Naruhodo Como Voce Resolveria O Enigma Da Padaria,Centro Paulista de Mindfulness,https://www.spmindfulness.com.br,9
113,Por Que As Pessoas Sao Destras Ou Canhotas,Ontogenesis of Lateralization,https://goo.gl/vdha38,9
115,Por Que Precisamos Falar Sobre A Febre Amarela,Febre Amarela | Notícias da Garagem,https://www.youtube.com/watch?v=70F65WkSOlo,1
116,Razao E Emocao Estao Em Lados Diferentes Do Cerebro,Two astonishingly different persons inhabit our heads,http://www.nytimes.com/1973/09/09/archives/we-are-leftbrained-or-rightbrained-two-astonishingly-different.html,3
116,Razao E Emocao Estao Em Lados Diferentes Do Cerebro,Comercial do Honda Fit 2015: Cérebro,https://www.youtube.com/watch?v=X1VbAkqJtIs,1
119,Estralar Os Dedos Faz Mal E Outras Rapidinhas Do Naruhodo,Ressonância magnética do estralar de ossos,https://www.youtube.com/watch?v=0hmWiDTA-xE,1
120,Comer Iodo Durante A Gravidez Aumenta O Qi Do Bebe,Effect of inadequate iodine status in UK pregnant women on cognitive outcomes in their children: results from the Avon Longitudinal Study of Parents and Children (ALSPAC),http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(13)60436-5/fulltext,9
122,Qual A Importancia Do Estudo De Tardigrados Em Nossas Vidas Opodcastedelas2018,Econectando – Erika Santos,http://econectando.com.br,9
122,Qual A Importancia Do Estudo De Tardigrados Em Nossas Vidas Opodcastedelas2018,Baseado em Fatos Surreais – Marcela Ponce de Leon,http://www.bfsurreais.com.br,9
122,Qual A Importancia Do Estudo De Tardigrados Em Nossas Vidas Opodcastedelas2018,#OPodcastÉDelas2018,http://opodcastedelas.com.br,9
122,Qual A Importancia Do Estudo De Tardigrados Em Nossas Vidas Opodcastedelas2018,Ponto G – Ira Croft,http://www.mundofreak.com.br/categoria/podcast/ponto-g,9
122,Qual A Importancia Do Estudo De Tardigrados Em Nossas Vidas Opodcastedelas2018,Movimento #MulheresPodcasters,https://twitter.com/hashtag/mulherespodcasters,5
123,O Que E E Como Funciona O Sonho Lucido,Artigo: “Induction of self awareness in dreams through frontal low current stimulation of gamma activity”,https://www.nature.com/articles/nn.3719,9
124,Reiki Funciona Segundo A Ciencia,Use of Alternative Medicine for Cancer and Its Impact on Survival,https://academic.oup.com/jnci/article/110/1/121/4064136,9
124,Reiki Funciona Segundo A Ciencia,A Systematic Review of the Therapeutic Effects of Reiki,https://www.liebertpub.com/doi/pdf/10.1089/acm.2009.0036,9
124,Reiki Funciona Segundo A Ciencia,Nerdcast #365 – Quantificando a Física Quântica,https://jovemnerd.com.br/?podcast=nerdcast-365-quantificando-a-fisica-quantica,9
124,Reiki Funciona Segundo A Ciencia,Effects of reiki in clinical practice: a systematic review of randomised clinical trials,https://www.ncbi.nlm.nih.gov/pubmed/18410352,2
124,Reiki Funciona Segundo A Ciencia,Alternative medicine kills cancer patients,https://sciencebasedmedicine.org/alternative-medicine-kills-cancer-patients,9
124,Reiki Funciona Segundo A Ciencia,Primata Falante – O que NÃO É a Física Quântica,https://www.youtube.com/watch?v=4rNI2esH1EE,1
124,Reiki Funciona Segundo A Ciencia,Movimento #MulheresPodcasters,https://twitter.com/hashtag/mulherespodcasters,5
124,Reiki Funciona Segundo A Ciencia,#OPodcastÉDelas2018,http://opodcastedelas.com.br,9
124,Reiki Funciona Segundo A Ciencia,Podcast Mamilos,http://mamilos.b9.com.br,9
124,Reiki Funciona Segundo A Ciencia,"Reiki therapy for postoperative oral pain in pediatric patients: pilot data from a double-blind, randomized clinical trial",https://www.ncbi.nlm.nih.gov/pubmed/24439640,2
126,Desafio Naruhodo Qual A Resposta Para O Problema Do Prisioneiro,Five Finger Death Punch – Coming Down,https://www.youtube.com/watch?v=ptzzU7jFQwo,1
128,E Possivel Matar Uma Bacteria Com As Maos,,https://medium.com/apenã,9
13,Como Voce Resolveria Este Enigma Policial,">> Artigo sobre a relação antropológica/histórica entre o crescimento do cabelo e a lua, por associação com o crescimento de plantas:",https://www.jstor.org/stable/282995,2
13,Como Voce Resolveria Este Enigma Policial,>> Artigo mostrando que o crescimento capilar se deve a fatores intrinsecos e não sofre efeito direto de variáveis extrinsecas ao organismo:,https://www.jstor.org/stable/122900,2
13,Como Voce Resolveria Este Enigma Policial,>> Artigo sobre o efeito das fases da lua no padrão de crescimento de plantas:,https://www.jstor.org/stable/4315291,2
133,Os Seres Humanos Podem Ser Multitarefas,Multitasking: Switching costs,http://www.apa.org/research/action/multitask.aspx,9
133,Os Seres Humanos Podem Ser Multitarefas,Distracted Driving and Risk of Road Crashes among Novice and Experienced Drivers,https://www.nejm.org/doi/full/10.1056/NEJMsa1204142,9
137,O Experimento Da Prisao De Stanford E Uma Fraude,"Ao contribuir, você pode ter acesso ao grupo fechado no Facebook e receber conteúdos exclusivos.",,9
137,O Experimento Da Prisao De Stanford E Uma Fraude,APOIA.SE,,9
138,O Que E Bruxismo Do Sono,Polysomnographic study of the prevalence of sleep bruxism in a population sample,https://www.ncbi.nlm.nih.gov/pubmed/23690359,2
139,Por Que Criancas Ricas Vao Melhor No Teste Do Marshmallow,Why Rich Kids Are So Good at the Marshmallow Test,https://www.theatlantic.com/family/archive/2018/06/marshmallow-test/561779,9
139,Por Que Criancas Ricas Vao Melhor No Teste Do Marshmallow,Video: The Marshmallow Study Revisited,https://www.youtube.com/watch?v=JsQMdECFnUQ,1
139,Por Que Criancas Ricas Vao Melhor No Teste Do Marshmallow,2018: Revisiting the Marshmallow Test,http://journals.sagepub.com/doi/pdf/10.1177/0956797618761661,9
139,Por Que Criancas Ricas Vao Melhor No Teste Do Marshmallow,Levantamento revela imediatismo e baixa tendência a poupança do brasileiro,https://www1.folha.uol.com.br/mercado/2017/12/1942232-levantamento-revela-imediatismo-e-baixa-tendencia-a-poupanca-do-brasileiro.shtml,3
139,Por Que Criancas Ricas Vao Melhor No Teste Do Marshmallow,1975: Cognitive Appraisals and Transformations in Delay Behavior,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.336.1423&rep=rep1&type=pdf,6
140,Por Que Expressamos Tanta Raiva Nas Redes Sociais,Spiral of silence on social media and the moderating role of disagreement and publicness in the network: Analyzing expressive and withdrawal behaviors,http://sci-hub.tw/http://journals.sagepub.com/doi/abs/10.1177/1461444818763384,9
140,Por Que Expressamos Tanta Raiva Nas Redes Sociais,Cartoon: “Come to bed”,https://me.me/i/are-you-coming-to-bed-i-cant-this-is-important-9417910,9
140,Por Que Expressamos Tanta Raiva Nas Redes Sociais,An agent-based model for emotion contagion and competition inonline social media,http://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0378437117313407,2
141,Cheirar Pum Faz Bem A Saude,Rotten egg gas holds key to healthcare therapies,http://www.exeter.ac.uk/news/research/title_393168_en.html,9
142,Constelacao Familiar E Uma Ideia Cientificamente Valida Parte 1 De 2,"The evidence base for couple therapy, family therapy and systemic interventions for adult‐focused problems",https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-6427.12033,9
142,Constelacao Familiar E Uma Ideia Cientificamente Valida Parte 1 De 2,"Couple therapy, family therapy and systemic interventions for adult‐focused problems: the current evidence base",https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-6427.12225,9
143,Constelacao Familiar E Uma Ideia Cientificamente Valida Parte 2 De 2,Emergence – How Stupid Things Become Smart Together,https://www.youtube.com/watch?v=16W7c0mb-rE,1
143,Constelacao Familiar E Uma Ideia Cientificamente Valida Parte 2 De 2,"Couple therapy, family therapy and systemic interventions for adult‐focused problems: the current evidence base",https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-6427.12225,9
143,Constelacao Familiar E Uma Ideia Cientificamente Valida Parte 2 De 2,"The evidence base for couple therapy, family therapy and systemic interventions for adult‐focused problems",https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-6427.12033,9
144,Por Que Sentimos Cocegas,Chimpanzees (Pan troglodytes) Produce the Same Types of ‘Laugh Faces’ when They Emit Laughter and when They Are Silent,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0127337,9
144,Por Que Sentimos Cocegas,Reconstructing the Evolution of Laughter in Great Apes and Humans,https://www.cell.com/current-biology/fulltext/S0960-9822(09)01129-4,9
146,Por Que Precisamos Falar Sobre Vacinas,Calendário de Vacinação 2018 – Ministério da Saúde,http://portalarquivos2.saude.gov.br/images/pdf/2018/julho/11/Calendario-de-Vacinacao-2018.pdf,7
146,Por Que Precisamos Falar Sobre Vacinas,Manual dos Centros de Referência para Imunobiológicos Especiais,http://portalarquivos2.saude.gov.br/images/pdf/2014/dezembro/09/manual-cries-9dez14-web.pdf,7
146,Por Que Precisamos Falar Sobre Vacinas,PODEntender #35 sobre Vacinação e Saúde Pública,http://podentender.com/2018/08/vacinacao-e-saude-publica.html,9
146,Por Que Precisamos Falar Sobre Vacinas,EXISTE PERIGO NA VACINA? | Nerdologia,https://www.youtube.com/watch?v=MiIZlSNAu0E,1
146,Por Que Precisamos Falar Sobre Vacinas,The Role of Patient Engagement in Addressing Parents’ Perceptions About Immunizations,https://jamanetwork.com/journals/jama/article-abstract/2633667,9
146,Por Que Precisamos Falar Sobre Vacinas,Parental Decision-Making on Childhood Vaccination,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6008886,2
146,Por Que Precisamos Falar Sobre Vacinas,The Role of Risk Perception in Flu Vaccine Behavior among African‐American and White Adults in the United States,https://onlinelibrary.wiley.com/doi/abs/10.1111/risa.12790,9
146,Por Que Precisamos Falar Sobre Vacinas,Revolta da Vacina | Nerdologia,https://www.youtube.com/watch?v=SlsHN-OWCkw,1
146,Por Que Precisamos Falar Sobre Vacinas,SciCast #268: Vacinas,http://www.deviante.com.br/podcasts/scicast-268,9
147,Comer Pimenta Faz Bem Pra Saude,Directed deterrence by capsaicin in chillies,http://sci-hub.tw/http://www.nature.com/articles/35086653,9
147,Comer Pimenta Faz Bem Pra Saude,The metabolic effects of a commercially available chicken peri-peri (African bird’s eye chilli) meal in overweight individuals,http://bit.ly/2Pvd12T,9
147,Comer Pimenta Faz Bem Pra Saude,A field test of the directed deterrence hypothesis in two species of wild chili,https://link.springer.com/article/10.1007/s00442-006-0496-y,2
148,A Dieta Low Carb Reduz A Expectativa De Vida 2,Podcasts das Minas: Ponto G,http://preciosamadalena.com.br/category/podcast/ponto-g,9
148,A Dieta Low Carb Reduz A Expectativa De Vida 2,Dietary carbohydrate intake and mortality: a prospective cohort study and meta-analysis,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(18)30135-X/fulltext,9
148,A Dieta Low Carb Reduz A Expectativa De Vida 2,Atkins and other low-carbohydrate diets: hoax or an effective tool for weight loss?,http://sci-hub.tw/http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(04)16986-9/fulltext,9
148,A Dieta Low Carb Reduz A Expectativa De Vida 2,"Dietas low carb, com restrição de carboidratos, reduzem expectativa de vida, indica estudo",https://www.bbc.com/portuguese/geral-45221046,3
149,Por Que Damos Risadas,Livro “Humor and Laughter – Theory and Applications”,https://www.taylorfrancis.com/books/9781351514217,9
149,Por Que Damos Risadas,Comercial: Boticário – Dia dos Pais 2018,https://www.youtube.com/watch?v=Aa-wZefbriM,1
150,O Que E O No Fap September,TED – The great Porn experiment,https://www.youtube.com/watch?v=wSF82AwSDiU,1
150,O Que E O No Fap September,The Impact of Internet Pornography on Adolescents: A Review of the Research,http://sci-hub.tw/http://www.tandfonline.com/doi/abs/10.1080/10720162.2012.660431,9
150,O Que E O No Fap September,A research on the relationship between ejaculation and serum testosterone level in men,https://link.springer.com/article/10.1631/jzus.2003.0236,2
150,O Que E O No Fap September,TED – Why I stopped watching porn,https://www.youtube.com/watch?v=gRJ_QfP2mhU,1
150,O Que E O No Fap September,Nonconceptive Sexual Behavior in Bonobos and Capuchins,https://link.springer.com/article/10.1023/A:1026395829818,2
150,O Que E O No Fap September,Can Pornography be Addictive? An fMRI Study of Men Seeking Treatment for Problematic Pornography Use,https://www.nature.com/articles/npp201778,9
150,O Que E O No Fap September,Becoming a sexual being: The “elephant in the room” of adolescent brain development,https://www.sciencedirect.com/science/article/pii/S1878929316300779,2
151,Especial Premio Ig Nobel 2018 Parte 1 De 2,2018 Ig Nobel Prize – Categoria: Ensino em Medicina:,https://www.sciencedirect.com/science/article/pii/S0016510705030129,2
151,Especial Premio Ig Nobel 2018 Parte 1 De 2,Ig Nobel Prize: Winners,https://www.improbable.com/ig/winners,9
151,Especial Premio Ig Nobel 2018 Parte 1 De 2,2018 Ig Nobel Prize – Categoria: Biologia,https://link.springer.com/article/10.1007/s10886-018-0950-4,2
151,Especial Premio Ig Nobel 2018 Parte 1 De 2,2018 Ig Nobel Prize – Categoria: Química,https://www.tandfonline.com/doi/abs/10.1179/sic.1990.35.3.153,9
151,Especial Premio Ig Nobel 2018 Parte 1 De 2,2018 Ig Nobel Prize – Categoria: Medicina,http://jaoa.org/article.aspx?articleid=2557373,9
151,Especial Premio Ig Nobel 2018 Parte 1 De 2,2018 Ig Nobel Prize – Categoria: Antropologia,https://link.springer.com/article/10.1007/s10329-017-0624-9,2
152,Especial Premio Ig Nobel 2018 Parte 2 De 2,"Pateta no Trânsito – Walt Disney, 1950",https://www.youtube.com/watch?v=-1TNHmLcEns,1
152,Especial Premio Ig Nobel 2018 Parte 2 De 2,Ig Nobel Prize: Winners,https://www.improbable.com/ig/winners,9
152,Especial Premio Ig Nobel 2018 Parte 2 De 2,2018 Ig Nobel Prize – Categoria: Paz:,http://pubs.sciepub.com/jsa/1/1/1,9
152,Especial Premio Ig Nobel 2018 Parte 2 De 2,2018 Ig Nobel Prize – Categoria: Literatura,https://academic.oup.com/iwc/article/28/1/27/2363584,9
152,Especial Premio Ig Nobel 2018 Parte 2 De 2,2018 Ig Nobel Prize – Categoria: Medicina Reprodutiva,https://ohsu.pure.elsevier.com/en/publications/nocturnal-penile-tumescence-monitoring-with-stamps-2,9
152,Especial Premio Ig Nobel 2018 Parte 2 De 2,2018 Ig Nobel Prize – Categoria: Economia,https://www.sciencedirect.com/science/article/pii/S104898431730276X,2
152,Especial Premio Ig Nobel 2018 Parte 2 De 2,Voodoo Doll,http://dumb.com/voodoodoll,9
152,Especial Premio Ig Nobel 2018 Parte 2 De 2,2018 Ig Nobel Prize – Categoria: Nutrição,https://www.nature.com/articles/srep44707,9
153,Sonambulismo Tem Cura,Vídeo: The Curious Case of Kenneth Parks,https://www.youtube.com/watch?v=AuWAkREjl6U,1
153,Sonambulismo Tem Cura,In-vivo staging of pathology in REM sleep behaviour disorder: a multimodality imaging case-control study,http://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S1474442218301625,2
153,Sonambulismo Tem Cura,Sleep Disorders: Disorders of Arousal?,http://science.sciencemag.org/content/159/3819/1070,9
153,Sonambulismo Tem Cura,Homicidal Somnambulism: A Case Report,https://www.researchgate.net/publication/15260363_Homicidal_Somnambulism_A_Case_Report,9
153,Sonambulismo Tem Cura,Podcast Dragões de Garagem #119- Ritmos Biológicos,http://dragoesdegaragem.com/podcast/dragoes-de-garagem-119-relogios-biologicos,9
154,O Que E A Lei De Benford,Comprova: vídeo com suspeitas sobre eleições de 2014 usou lei matemática que não prova fraude,https://projetocomprova.com.br/post/re_2B5W8XZQGoGN,9
154,O Que E A Lei De Benford,Explicação da Lei de Benford em vídeo,https://www.youtube.com/watch?v=aCftvDOreg0,1
154,O Que E A Lei De Benford,O vídeo enganoso que viralizou na internet,https://www.youtube.com/watch?v=FgpYrXN00Sw,1
155,Tomar Decisoes Cansa O Nosso Cerebro,Action plan interrupted: resolution of proactive interference while coordinating execution of multiple action plans during sleep deprivation,http://sci-hub.tw/http://link.springer.com/article/10.1007/s00426-018-1054-z,2
155,Tomar Decisoes Cansa O Nosso Cerebro,Extraneous Factors in Judicial Decisions,http://sci-hub.tw/http://www.pnas.org/content/108/17/6889.short,9
155,Tomar Decisoes Cansa O Nosso Cerebro,"Stolarz-Fantino, S., & Fantino, E. (1990). Cognition and behavior analysis: a review of Rachlin’s judgment, decision, and choice. Journal of the Experimental Analysis of Behavior",http://sci-hub.tw/http://onlinelibrary.wiley.com/doi/abs/10.1901/jeab.1990.54-317,9
155,Tomar Decisoes Cansa O Nosso Cerebro,Tomar decisões extenua o cérebro,http://www2.uol.com.br/sciam/noticias/tomar_decisoes_extenua_o_cerebro.html,9
155,Tomar Decisoes Cansa O Nosso Cerebro,Decision time as information in judgment and choice,http://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0749597814000521,2
156,O Que E Paralisia Do Sono,Cachorro com narcolepsia,https://youtu.be/X0h2nleWTwI,1
156,O Que E Paralisia Do Sono,Narcolepsy and Autoimmune Response: The Missing Link,https://www.neurologyadvisor.com/sleep-disorders/narcolepsy-autoimmune-disease-sleep-disorders/article/424855,9
156,O Que E Paralisia Do Sono,Insights from studying human sleep disorders – Science,http://sci-hub.tw/http://www.nature.com/articles/nature04287,9
156,O Que E Paralisia Do Sono,Disorders of Arousal From Sleep and Violent Behavior: The Role of PhysicalContact and Proximity,http://sci-hub.tw/http://academic.oup.com/sleep/article/30/8/1039/2696792,9
156,O Que E Paralisia Do Sono,Cabra com narcolepsia,https://youtu.be/YI4hzzepEcI,1
157,Atravessar Portas Faz A Gente Se Esquecer De Coisas,Walking Through Doorways Causes Forgetting: Event Structure or Updating Disruption?,http://sci-hub.tw/http://www.tandfonline.com/doi/abs/10.1080/17470218.2015.1101478,9
157,Atravessar Portas Faz A Gente Se Esquecer De Coisas,Aging and everyday memory: the beneficial effect of memory training,https://www.sciencedirect.com/science/article/abs/pii/S0167494303000633,2
157,Atravessar Portas Faz A Gente Se Esquecer De Coisas,Atravessar portas pode nos fazer esquecer as coisas,https://super.abril.com.br/blog/como-pessoas-funcionam/atravessar-portas-pode-nos-fazer-esquecer-as-coisas,9
157,Atravessar Portas Faz A Gente Se Esquecer De Coisas,Frontal and Temporal Dopamine Release during Working Memory and Attention Tasks in Healthy Humans: a Positron Emission Tomography Study Using the High-Affinity Dopamine D2 Receptor Ligand,http://www.jneurosci.org/content/25/10/2471.short,9
158,Desafio Naruhodo Quem Sera Devorado Pelo Chefe Gelostofo,Farmacast Podcast,http://farmacast.com.br,9
158,Desafio Naruhodo Quem Sera Devorado Pelo Chefe Gelostofo,"Ig Nobel 2017 Nutrition: Fernanda Ito, Enrico Bernard, and Rodrigo Torres, for the first scientific report of human blood in the diet of the hairy-legged vampire bat",http://www.bioone.org/doi/abs/10.3161/15081109ACC2016.18.2.017,9
158,Desafio Naruhodo Quem Sera Devorado Pelo Chefe Gelostofo,Camila Lustosa – Cartazes em Motion,https://www.youtube.com/watch?v=NrPGy0ExLBc,1
158,Desafio Naruhodo Quem Sera Devorado Pelo Chefe Gelostofo,"Ig Nobel 2008 Archaeology: Astolfo Gomes de Mello Araujo and Jose Carlos Marcelino, for showing that armadillos (tatus) can mix up the contents of an archaeological site",https://onlinelibrary.wiley.com/doi/abs/10.1002/gea.10070,9
158,Desafio Naruhodo Quem Sera Devorado Pelo Chefe Gelostofo,"Ig Nobel 2017 Biology: Kazunori Yoshizawa, Rodrigo Ferreira, Yoshitaka Kamimura, and Charles Lienhard, for their discovery of a female penis, and a male vagina, in a cave insect",https://www.sciencedirect.com/science/article/pii/S0960982214003145,2
158,Desafio Naruhodo Quem Sera Devorado Pelo Chefe Gelostofo,"Sobrevivente de acidente em porto no ES conta o que aconteceu: ‘em segundos, estava desacordado’",https://g1.globo.com/es/espirito-santo/noticia/2018/07/25/acidente-em-portocel-em-fracao-de-segundos-estava-desacordado-diz-sobrevivente-no-es.ghtml,3
159,A Ciencia Consegue Explicar Tudo Parte 1 De 2,Theodor Adorno – The Essay as a form,https://www.jstor.org/stable/pdf/488160.pdf,2
159,A Ciencia Consegue Explicar Tudo Parte 1 De 2,Karl Popper – Dois problemas fundamentais da teoria do conhecimento,"http://editoraunesp.com.br/catalogo/9788539304981,os-dois-problemas-fundamentais-da-teoria-do-conhecimento",9
159,A Ciencia Consegue Explicar Tudo Parte 1 De 2,John Urry – The Complexity Turn,https://goo.gl/eXH6fQ,9
159,A Ciencia Consegue Explicar Tudo Parte 1 De 2,Theodor Adorno – Authoritarian Personality,http://www.popflock.com/learn?s=The_Authoritarian_Personality,9
160,A Ciencia Consegue Explicar Tudo Parte 2 De 2,Obesity – A neuropsychological disease? Systematic review and neuropsychological model,https://www.sciencedirect.com.sci-hub.tw/science/article/pii/S030100821300141X,2
160,A Ciencia Consegue Explicar Tudo Parte 2 De 2,Accumulating Data to Optimally Predict Obesity Treatment (ADOPT) Core Measures: Psychosocial Domain,https://www.ncbi.nlm.nih.gov/m/pubmed/29575781,2
160,A Ciencia Consegue Explicar Tudo Parte 2 De 2,Causalidade de Bradford Hill,https://www.edwardtufte.com/tufte/hill,9
160,A Ciencia Consegue Explicar Tudo Parte 2 De 2,Oxford handbook of Qualitative Research,http://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780199811755.001.0001/oxfordhb-9780199811755,9
160,A Ciencia Consegue Explicar Tudo Parte 2 De 2,"The association between weight maintenance and session-by-session diet adherence, weight loss and weight-loss satisfaction",https://link.springer.com/article/10.1007/s40519-018-0528-8,2
160,A Ciencia Consegue Explicar Tudo Parte 2 De 2,Causalidade de Granger,http://www.scholarpedia.org/article/Granger_causality,9
160,A Ciencia Consegue Explicar Tudo Parte 2 De 2,Motivational and evolutionary aspects of a physical exercise training program: a longitudinal study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4435236/pdf/fpsyg-06-00648.pdf,2
160,A Ciencia Consegue Explicar Tudo Parte 2 De 2,Podcast Quatro de 15 – Mudança de hábitos e emagrecimento,https://quatrode15.com.br/podcast-58-mudanca-de-habitos-para-emagrecer,9
161,Visitar Museus Pode Curar Doencas,Conhecendo Museus: O museu da Lingua Portuguesa,https://www.youtube.com/watch?v=80mHcbwdUaU,1
161,Visitar Museus Pode Curar Doencas,Doctors in Montreal can now prescribe a visit to an art museum,https://www.weforum.org/agenda/2018/10/doctors-in-montreal-will-start-prescribing-visits-to-the-art-museum,9
161,Visitar Museus Pode Curar Doencas,Conceptualising ‘materialities of care’: making visible mundane material culture in health and social care contexts,http://onlinelibrary.wiley.com.sci-hut.tw/doi/abs/10.1111/1467-9566.12663,9
161,Visitar Museus Pode Curar Doencas,Nerdologia – O passado perdido do Museu Nacional,https://www.youtube.com/watch?v=GpkPYn35zYI,1
161,Visitar Museus Pode Curar Doencas,Museums and art galleries as partners for public health interventions:,http://journals.sagepub.com.sci-hub.tw/doi/abs/10.1177/1757913912468523,9
161,Visitar Museus Pode Curar Doencas,Historiador da arte Charles Saumarez Smith reflete sobre mudanças nos museus,https://folha.com/0lp1cjma,9
161,Visitar Museus Pode Curar Doencas,Art museum-based intervention to promote emotional well-being and improve quality of life in people with dementia: The ARTEMIS project,https://sci-hub.tw/10.1177/1471301217730451,9
161,Visitar Museus Pode Curar Doencas,"Cultural inclusion, exclusion and the formative roles of museus:",https://www.tandfonline.com.sci-hub.tw/doi/pdf/10.1080/09647770802234078,9
161,Visitar Museus Pode Curar Doencas,Nerdologia – O nosso Museu Nacional,https://www.youtube.com/watch?v=cHkp8h0HQss,1
162,Por Que Acontece O Nocaute,The neuropathology of sport,https://link.springer.com/article/10.1007/s00401-013-1230-6,2
162,Por Que Acontece O Nocaute,"Cumulative Head Impact Exposure Predicts Later-Life Depression, Apathy, Executive Dysfunction, and Cognitive Impairment in Former High School and College Football Players",https://www.liebertpub.com/doi/abs/10.1089/neu.2016.4413,9
162,Por Que Acontece O Nocaute,Repeated head trauma is associated with smaller thalamic volumes and slower processing speed: the Professional Fighters’ Brain Health Study,https://bjsm.bmj.com/content/49/15/1007.short,9
162,Por Que Acontece O Nocaute,Compilação de exemplosChoke-out no Judo: (chaves de braço) no Judo:https://www.youtube.com/watch?v=87thuSVewPwSumo:https://www.youtube.com/watch?v=wItb9Jsn38kKarate:https://www.youtube.com/watch?v=2R8WWQZKxN8Boxe (KO com golpes no corpo):https://www.youtube.com/watch?v=DNKEsqDrWXMMMA (KO com golpes na cabeça):https://youtu.be/1sN-nsLKHv0,https://www.youtube.com/watch?v=CWOPV9NkjVoKansetsu-waza,1
163,O Que A Anestesia Desliga No Nosso Corpo,Relationship between the melanocortin-1 receptor (MC1R) variant R306ter and physiological responses to mechanical or thermal stimuli in Labrador Retriever dogs,https://www.sciencedirect.com/science/article/abs/pii/S1467298717300120,2
163,O Que A Anestesia Desliga No Nosso Corpo,Red Hair and anesthesic requirements,https://link.springer.com/article/10.1007/s12630-015-0325-z,2
164,Podemos Ler Emocoes Com Base Em Expressoes Faciais,Impact of depression on response to comedy: A dynamic facial coding analysis.,https://sci-hub.tw/10.1037/0021-843X.116.4.804,9
164,Podemos Ler Emocoes Com Base Em Expressoes Faciais,A Psychophysical Investigation of the Facial Action Coding System as an Index of Pain Variability among Older Adults with and without Alzheimer’s Disease,https://sci-hub.tw/10.1111/j.1526-4637.2007.00358.x,9
164,Podemos Ler Emocoes Com Base Em Expressoes Faciais,FACS – Facial Action Coding System,https://pt.wikipedia.org/wiki/Facial_Action_Coding_System,9
