Episode,Reference_1,Reference_2,Reference_3,Reference_4,Reference_5,Reference_6,Reference_7,Reference_8,Reference_9,Reference_10,Reference_11,Reference_12,Reference_13,Reference_14,Reference_15,Reference_16
https://www.b9.com.br/shows/naruhodo/naruhodo-194-uma-pessoa-pode-ser-enterrada-viva-nos-dias-de-hoje/,The Mammalian Diving Response: An Enigmatic Reflex to Preserve Life?https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3768097/,CFM atualiza resolução com critérios de diagnóstico da morte encefálicahttps://portal.cfm.org.br/index.php?option=com_content&view=article&id=27329:2017-12-12-11-27-28&catid=3,Fluxograma do Protocolo de Morte Encefálica / Notificaçãodo Potencial Doador de Órgãos e Tecidoshttp://www.saude.pr.gov.br/arquivos/File/CET/Fluxograma_MorteEncefalica_PotencialDoador.pdf,Vídeo mostra homem enterrado vivo em cova de cemitério em Ferrazhttp://g1.globo.com/sp/mogi-das-cruzes-suzano/vc-no-g1-tvdiario/noticia/2013/11/video-mostra-homem-enterrado-vivo-em-cova-de-cemiterio-em-ferraz.html,Mammalian Dive Reflex – Heartratehttps://www.youtube.com/watch?v=00RKh6NRMqc,‘I am dead’: Cotard syndrome and dementiahttp://www.tandfonline.com.sci-hub.tw/doi/abs/10.1080/13651501.2018.1529248,Cotard’s Syndrome: A Reviewhttps://link.springer.com/content/pdf/10.1007%2Fs11920-009-0031-z.pdf,Naruhodo 156 – O que é paralisia do Sono?https://www.b9.com.br/98975/naruhodo-156-o-que-e-paralisia-do-sono/,Naruhodo 125 – Por que algumas pessoas passam mal ao ver sangue?https://www.b9.com.br/89297/naruhodo-125-por-que-algumas-pessoas-passam-mal-ao-ver-sangue/,Podcasts das #Minas: POTOCAShttps://www.facebook.com/potocaspodcast/,,,,,,
https://www.b9.com.br/shows/naruhodo/naruhodo-193-como-funciona-o-daltonismo/,Colour vision of domestic chickshttps://jeb.biologists.org/content/202/21/2951.long,Our Favorite Reactions of 2015https://www.youtube.com/watch?v=-rMjUsG–zo,Colour blindness corrected by gene therapyhttps://www.nature.com/news/2009/090916/full/news.2009.921.html,Ishihara Testhttps://www.color-blindness.com/ishihara-38-plates-cvd-test/#prettyPhoto,Podcasts das #Minas: VIESES FEMININOShttps://open.spotify.com/show/2eMEcpEaq0j8JhqhNSNOut,,,,,,,,,,,
https://www.b9.com.br/shows/naruhodo/naruhodo-192-o-que-sao-experiencias-de-quase-morte/,Restoration of brain circulation and cellular functions hours post-mortem – Nature (2019)http://www.nature.com.sci-hub.tw/articles/s41586-019-1099-1?fbclid=IwAR3tOkWwJYjiinl5gaWY9UNmXd0FnJmrn6FmMp5aAt1xw-2VsCUJXo6sNSE,Surge of neurophysiological activity in the dying brainhttps://www.pnas.org/content/110/47/E4405,Depersonalization in response to life-threatening dangerhttps://www.sciencedirect.com/science/article/abs/pii/0010440X77900104,Near-death experience in survivors of cardiac arrest: aprospective study in the Netherlands (Lancet 2001)http://www.m.horizonresearch.org/sdarticle.pdf,AWARE—AWAreness during REsuscitation—A prospective studyhttp://www.sciencedirect.com.sci-hub.tw/science/article/abs/pii/S0300957214007394,Neurochemical models of near-death experiences: A large-scalestudy based on the semantic similarity of written reportshttp://www.sciencedirect.com.sci-hub.tw/science/article/pii/S105381001830535X,Near-Death Experiences: Actual Considerationshttp://link.springer.com.sci-hub.tw/chapter/10.1007/978-3-319-55964-3_14,Naruhodo #163 – O que a anestesia desliga no nosso corpo?https://www.b9.com.br/101223/naruhodo-163-o-que-a-anestesia-desliga-no-nosso-corpo/,Naruhodo #165 – Quando tomo antidepressivos continuo sendo eu mesmo?https://www.b9.com.br/102173/naruhodo-165-quando-tomo-antidepressivos-continuo-sendo-eu-mesmo/,Naruhodo #172 – Por que as nuvens têm o formato de alguma coisa?https://www.b9.com.br/104459/naruhodo-172-por-que-as-nuvens-tem-o-formato-de-alguma-coisa/,Podcasts das #Minas: AGULHAShttps://open.spotify.com/show/6dirE4O6oiZoby0vdSdae3,,,,,
https://www.b9.com.br/shows/naruhodo/naruhodo-191-e-possivel-aprender-idiomas-dormindo/,Inglês com Música em 1975 com Marisa Leite de Barroshttps://www.youtube.com/watch?v=HGD_Bgh-HyI,The beneficial role of memory reactivation for language learning during sleep: A reviewhttps://www.sciencedirect.com.sci-hub.tw/science/article/abs/pii/S0093934X15301073,Auditory feedback blocks memory benefits of cueing during sleephttps://www.nature.com/articles/ncomms9729,The non-recall of material during sleephttps://www.rand.org/content/dam/rand/pubs/papers/2015/P619.pdf,Boosting Vocabulary Learning by Verbal Cueing During Sleephttps://academic.oup.com/cercor/article/25/11/4169/2366428,The Role of Memory Reactivation during Wakefulness andSleep in Determining Which Memories Endurehttp://faculty.wcas.northwestern.edu/~paller/JN2013.pdf,Memory formation in the absence of experiencehttps://www.nature.com/articles/s41593-019-0389-0,Naruhodo #78 – Como funciona a memória?https://www.b9.com.br/74576/naruhodo-78-como-funciona-memoria/,Naruhodo #187 – Por que procrastinamos?https://www.b9.com.br/109878/naruhodo-187-por-que-procrastinamos/,Naruhodo #129 – Sono polifasico funciona segundo a ciência?www.b9.com.br/90206/naruhodo-129-sono-polifasico-funciona-segundo-a-ciencia/,Podcasts das #Minas: O PÓDIO É DELAShttps://www.mixcloud.com/discover/o-p%C3%B3dio-%C3%A9-delas/?order=latest,,,,,
https://www.b9.com.br/shows/naruhodo/naruhodo-190-por-que-vozes-e-rostos-as-vezes-parecem-nao-combinar/,Meet Q: First Genderless Voice:https://www.youtube.com/watch?v=lvv6zYOQqm0,Comercial Anderson Silva – Burger King:https://www.youtube.com/watch?v=tOiq3N1HY6s,UNESCO – I’d blush if I could: closing gender divides in digital skills through education:https://unesdoc.unesco.org/ark:/48223/pf0000367416.page=1,"Canalys: Rise of Alexa, Google Assistant and Siri to drive US smart assistant compatible device base to 1.6 bi in 2022https://www.canalys.com/newsroom/rise-of-alexa-google-assistant-and-siri-to-drive-us-smart-assistant-compatible-device-base-to-16-billion-in-2022",Spontaneous voice–face identity matching by rhesus monkeys for familiar conspecifics and humanshttps://www.pnas.org/content/108/4/1735.short,Implicit Multisensory Associations Influence Voice Recognitionhttps://journals.plos.org/plosbiology/articleid=10.1371/journal.pbio.0040326,Dogs recall their owner’s face upon hearing the owner’s voicehttps://link.springer.com/article/10.1007/s10071-006-0025-8,How Is Individuality Expressed in Voice? An Introduction to Speech Production and Description for Speaker Classification:https://link.springer.com/content/pdf/10.1007%2F978-3-540-74200-5_1.pdf,Fapesp ciência aberta:Redes sociais e novas formas de comunicar ciênciahttp://www.fapesp.br/ciencia-aberta/redes-sociais-e-novas-formas-de-comunicar-ciencia/21,Naruhodo na revista fapesphttps://youtu.be/1QCvxBaiNz8,Naruhodo #172 – Por que as nuvens têm formato de alguma coisa?https://www.b9.com.br/104459/naruhodo-172-por-que-as-nuvens-tem-o-formato-de-alguma-coisa/,Naruhodo #132 – De onde surgiu o conceitos de nomes próprios?https://www.b9.com.br/91153/naruhodo-132-de-onde-surgiu-o-conceito-de-nomes-proprios/,Podcasts das #Minas: CHÁ COM RAPADURAhttps://chacomrapadura.com/,,,
https://www.b9.com.br/shows/naruhodo?pagina=1#anchor-tabs,,,,,,,,,,,,,,,,
https://www.b9.com.br/shows/naruhodo?pagina=20#anchor-tabs,,,,,,,,,,,,,,,,
https://www.b9.com.br/shows/naruhodo?pagina=18#anchor-tabs,,,,,,,,,,,,,,,,
https://www.b9.com.br/shows/naruhodo?pagina=19#anchor-tabs,,,,,,,,,,,,,,,,
https://www.b9.com.br/shows/naruhodo?pagina=22#anchor-tabs,,,,,,,,,,,,,,,,
https://www.b9.com.br/shows/naruhodo?pagina=23#anchor-tabs,,,,,,,,,,,,,,,,
https://www.b9.com.br/shows/naruhodo?pagina=24#anchor-tabs,,,,,,,,,,,,,,,,
https://www.b9.com.br/shows/naruhodo?pagina=35#anchor-tabs,,,,,,,,,,,,,,,,
https://www.b9.com.br/shows/naruhodo/,,,,,,,,,,,,,,,,
https://www.b9.com.br/shows/naruhodo/naruhodo-189-por-que-reviramos-os-olhos/,Unique morphology of the human eye and its adaptive meaning: comparative studies on external morphology of the primate eye (2001)http://www.sciencedirect.com.sci-hub.tw/science/article/pii/S0047248401904683?via%3Dihub,The Ethological Approach to the Study of Human Behaviorhttp://dieoff.com/_Biology/TheEthologicalApproachToHumanBehavior.pdf,Nonverbal communication between parents and adolescents: A study of approach and avoidance behaviorshttps://link.springer.com/article/10.1007%2FBF02169080,How a Couple Views their past predicts their future – Predicting Divorce:http://psycnet.apa.org.sci-hub.tw/doiLanding?doi=10.1037%2F0893-3200.5.3-4.295,Anatomia do olhohttp://www.childrenshospital.org/research/labs/engle-laboratory/neurogenetics-research/eye-muscle-anatomy,Galluscam (Estabilizador de cabeça das galinhas!)https://www.youtube.com/watch?v=Yuw33DsodNU,Naruhodo #164 – Podemos ler emoções com base em expressões faciaishttps://www.b9.com.br/101840/naruhodo-164-podemos-ler-emocoes-com-base-em-expressoes-faciais/,Naruhodo #172 – Porque as nuvens tem formato de alguma coisa?https://www.b9.com.br/104459/naruhodo-172-por-que-as-nuvens-tem-o-formato-de-alguma-coisa/,Podcasts das #Minas: HOJE TEMhttp:///hojetempodcast.com.brhttps://open.spotify.com/show/2w3IfCyn2cAVrSrzVkwTcj,,,,,,,
